Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_abridged,in_year_2019,calcBoundsOpt
269,DP,CBBA,GS,Urgency,Instant,2019-08-10,False,False,True,0
270,DP,CBBA,GS,Urgency,Instant,2019-11-10,False,False,True,0
271,DP,CBBA,Interconstellation,Co-observations,Ground,2019-05-15,False,False,True,0
272,DP,CBBA,Interconstellation,Co-observations,Ground,2019-08-10,False,False,True,0
273,DP,CBBA,Interconstellation,Co-observations,Ground,2019-11-10,False,False,True,0
274,DP,CBBA,Interconstellation,Co-observations,Onboard,2019-05-15,False,False,True,0
275,DP,CBBA,Interconstellation,Co-observations,Onboard,2019-08-10,False,False,True,0
276,DP,CBBA,Interconstellation,Co-observations,Onboard,2019-11-10,False,False,True,0
277,DP,CBBA,Interconstellation,Co-observations,Instant,2019-05-15,False,False,True,0
278,DP,CBBA,Interconstellation,Co-observations,Instant,2019-08-10,False,False,True,0
279,DP,CBBA,Interconstellation,Co-observations,Instant,2019-11-10,False,False,True,0
280,DP,CBBA,Interconstellation,Revisits,Ground,2019-05-15,False,False,True,0
281,DP,CBBA,Interconstellation,Revisits,Ground,2019-08-10,False,False,True,0
282,DP,CBBA,Interconstellation,Revisits,Ground,2019-11-10,False,False,True,0
283,DP,CBBA,Interconstellation,Revisits,Onboard,2019-05-15,False,False,True,0
284,DP,CBBA,Interconstellation,Revisits,Onboard,2019-08-10,False,False,True,0
285,DP,CBBA,Interconstellation,Revisits,Onboard,2019-11-10,False,False,True,0
286,DP,CBBA,Interconstellation,Revisits,Instant,2019-05-15,False,False,True,0
287,DP,CBBA,Interconstellation,Revisits,Instant,2019-08-10,False,False,True,0
288,DP,CBBA,Interconstellation,Revisits,Instant,2019-11-10,False,False,True,0
289,DP,CBBA,Interconstellation,Urgency,Ground,2019-05-15,False,False,True,0
290,DP,CBBA,Interconstellation,Urgency,Ground,2019-08-10,False,False,True,0
291,DP,CBBA,Interconstellation,Urgency,Ground,2019-11-10,False,False,True,0
292,DP,CBBA,Interconstellation,Urgency,Onboard,2019-05-15,False,False,True,0
293,DP,CBBA,Interconstellation,Urgency,Onboard,2019-08-10,False,False,True,0
294,DP,CBBA,Interconstellation,Urgency,Onboard,2019-11-10,False,False,True,0
295,DP,CBBA,Interconstellation,Urgency,Instant,2019-05-15,False,False,True,0
296,DP,CBBA,Interconstellation,Urgency,Instant,2019-08-10,False,False,True,0
297,DP,CBBA,Interconstellation,Urgency,Instant,2019-11-10,False,False,True,0
298,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-05-15,False,False,True,0
299,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-08-10,False,False,True,0
300,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-11-10,False,False,True,0
301,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-05-15,False,False,True,0
302,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-08-10,False,False,True,0
303,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-11-10,False,False,True,0
304,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-05-15,False,False,True,0
305,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-08-10,False,False,True,0
306,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-11-10,False,False,True,0
307,DP,CBBA,Intraconstellation,Revisits,Ground,2019-05-15,False,False,True,0
308,DP,CBBA,Intraconstellation,Revisits,Ground,2019-08-10,False,False,True,0
309,DP,CBBA,Intraconstellation,Revisits,Ground,2019-11-10,False,False,True,0
310,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-05-15,False,False,True,0
311,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-08-10,False,False,True,0
312,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-11-10,False,False,True,0
313,DP,CBBA,Intraconstellation,Revisits,Instant,2019-05-15,False,False,True,0
314,DP,CBBA,Intraconstellation,Revisits,Instant,2019-08-10,False,False,True,0
315,DP,CBBA,Intraconstellation,Revisits,Instant,2019-11-10,False,False,True,0
316,DP,CBBA,Intraconstellation,Urgency,Ground,2019-05-15,False,False,True,0
317,DP,CBBA,Intraconstellation,Urgency,Ground,2019-08-10,False,False,True,0
318,DP,CBBA,Intraconstellation,Urgency,Ground,2019-11-10,False,False,True,0
319,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-05-15,False,False,True,0
320,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-08-10,False,False,True,0
321,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-11-10,False,False,True,0
